format,fy,date,txns
FLEET,2016,8/23/2016,10287
FLEET,2016,8/24/2016,10171
FLEET,2016,8/25/2016,10330
FLEET,2016,8/26/2016,9479
FLEET,2016,8/27/2016,4955
FLEET,2016,8/28/2016,4331
FLEET,2016,8/29/2016,10580
FLEET,2016,8/30/2016,10074
FLEET,2016,8/31/2016,11220
FLEET,2016,9/1/2016,11541
FLEET,2016,9/2/2016,7716
FLEET,2016,9/3/2016,3544
FLEET,2016,9/4/2016,3360
FLEET,2016,9/5/2016,3362
FLEET,2016,9/6/2016,10768
FLEET,2016,9/7/2016,10073
FLEET,2016,9/8/2016,10305
FLEET,2016,9/9/2016,8871
FLEET,2016,9/10/2016,5016
FLEET,2016,9/11/2016,4750
FLEET,2016,9/12/2016,10166
FLEET,2016,9/13/2016,9784
